"subjects"	"cluster.id"
"1"	"subject1"	5
"2"	"subject2"	5
"3"	"subject3"	5
"4"	"subject4"	3
"5"	"subject5"	5
"6"	"subject6"	5
"7"	"subject7"	3
"8"	"subject8"	1
"9"	"subject9"	1
"10"	"subject10"	4
"11"	"subject11"	3
"12"	"subject12"	3
"13"	"subject13"	5
"14"	"subject14"	5
"15"	"subject15"	1
"16"	"subject16"	5
"17"	"subject17"	3
"18"	"subject18"	1
"19"	"subject19"	2
"20"	"subject20"	3
"21"	"subject21"	2
"22"	"subject22"	2
"23"	"subject23"	5
"24"	"subject24"	1
"25"	"subject25"	3
"26"	"subject26"	1
"27"	"subject27"	3
"28"	"subject28"	5
"29"	"subject29"	5
"30"	"subject30"	1
"31"	"subject31"	5
"32"	"subject32"	1
"33"	"subject33"	3
"34"	"subject34"	5
"35"	"subject35"	1
"36"	"subject36"	2
"37"	"subject37"	5
"38"	"subject38"	4
"39"	"subject39"	5
"40"	"subject40"	1
"41"	"subject41"	3
"42"	"subject42"	1
"43"	"subject43"	3
"44"	"subject44"	2
"45"	"subject45"	3
"46"	"subject46"	5
"47"	"subject47"	1
"48"	"subject48"	1
"49"	"subject49"	3
"50"	"subject50"	1
"51"	"subject51"	1
"52"	"subject52"	3
"53"	"subject53"	3
"54"	"subject54"	2
"55"	"subject55"	2
"56"	"subject56"	5
"57"	"subject57"	2
"58"	"subject58"	5
"59"	"subject59"	1
"60"	"subject60"	5
"61"	"subject61"	2
"62"	"subject62"	3
"63"	"subject63"	1
"64"	"subject64"	1
"65"	"subject65"	4
"66"	"subject66"	5
"67"	"subject67"	2
"68"	"subject68"	3
"69"	"subject69"	1
"70"	"subject70"	5
"71"	"subject71"	4
"72"	"subject72"	4
"73"	"subject73"	1
"74"	"subject74"	1
"75"	"subject75"	5
"76"	"subject76"	1
"77"	"subject77"	1
"78"	"subject78"	1
"79"	"subject79"	1
"80"	"subject80"	5
"81"	"subject81"	1
"82"	"subject82"	3
"83"	"subject83"	1
"84"	"subject84"	2
"85"	"subject85"	5
"86"	"subject86"	4
"87"	"subject87"	1
"88"	"subject88"	1
"89"	"subject89"	4
"90"	"subject90"	1
"91"	"subject91"	1
"92"	"subject92"	1
"93"	"subject93"	5
"94"	"subject94"	1
"95"	"subject95"	1
"96"	"subject96"	2
"97"	"subject97"	4
"98"	"subject98"	3
"99"	"subject99"	2
"100"	"subject100"	1
